Name,lat,lon
Happy Mini Pizza,52.43881,13.38841
La Sirena,52.4553,13.37466
Pizza Max,52.45571,13.38268
Park-Cafe,52.44065,13.39641
Cafe Makara,52.44982,13.38534
Gatto Nero,52.45276,13.37126
Salitos Beach Berlin,52.45467,13.38455
Muncheese,52.45584,13.38057
Becerro,52.44833,13.3849
Vereinsheim Rixdorfer,52.44364,13.39818
New Ocean,52.4361,13.38929
Inside Asia,52.45467,13.38455
Antikstuben im Kunigundeneck,52.45516,13.38054
Das Teehaus Mariendorf,52.431138,13.391364
Mundo,52.44048,13.3876
Cancun Restaurant,52.43847,13.38757
Motel Blue Süd,52.43693,13.38885
Piro Espressobar,52.45573,13.3824
Mr.M's Burger,52.45283,13.37808
Bei Radi,52.44582,13.39005
Cafe Ole,52.45478,13.38105
Restaurant Pußta Grill,52.42654,13.37381
Nuova Masseria,52.42393,13.37168
Sushi For You,52.42312,13.37099
Jorg's Curry Container,52.42205,13.3714
